"location.name","location.lat","location.lon","current.temperature","current.wind_speed","current.wind_degree","current.pressure","current.precip","current.humidity","current.cloudcover","current.feelslike","current.uv_index","current.visibility"
"Kohima",25.667,94.117,21,0,0,1004,1.5,84,75,36,1,3
"Bhubaneshwar",20.233,85.833,32,6,20,1002,0,94,75,28,1,3
"Amaravati",20.933,77.75,26,4,37,1001,0.5,86,50,29,1,10
"Itanagar",27.1,93.617,20,12,303,1004,1.1,84,62,28,1,10
"Dispur",26.143,91.789,28,9,260,1003,0,79,75,29,1,4
"Patna",25.6,85.117,25,12,123,1002,0.2,87,82,25,1,10
"Raipur",21.233,81.633,26,6,54,1005,0.1,85,79,16,1,10
"Panaji",15.483,73.833,26,7,120,1006,0.7,94,75,26,1,2
"Gandhinagar",23.217,72.683,27,13,260,1010,4.6,94,75,20,1,6
"Chandigarh",30.737,76.787,23,7,360,1007,1.2,94,75,28,1,3
"Shimla",31.103,77.172,16,4,250,1006,0,89,25,26,1,3
"Ranchi",23.35,85.333,24,11,110,1004,0.1,94,75,30,1,3
"Bengaluru",12.983,77.583,20,2,106,1006,0,98,100,20,1,0
"Thiruvananthapuram",8.507,76.957,25,6,193,1006,0.7,99,100,20,1,2
"Bhopal",23.267,77.4,24,4,164,1007,0,98,100,18,1,0
"Mumbai",18.975,72.826,27,4,340,1001,0,94,75,31,1,5
"Imphal",24.817,93.95,20,14,324,1000,0,59,46,35,8,10
"Shillong",25.576,91.873,20,2,102,1005,0.7,99,100,22,5,10
"Kohima",25.667,94.117,18,0,0,1002,0,79,75,38,5,4
"Bhubaneshwar",20.233,85.833,27,13,90,1000,0.4,79,75,28,7,3
"Amaravati",20.933,77.75,31,5,20,999,0.8,59,62,38,7,10
"Itanagar",27.1,93.617,22,21,265,1004,0.1,79,50,32,6,10
"Dispur",26.143,91.789,29,7,110,1000,0,56,25,34,9,6
"Patna",25.6,85.117,27,11,307,999,0,46,15,40,8,10
"Raipur",21.233,81.633,32,9,286,1003,0.2,62,80,29,6,9
"Panaji",15.483,73.833,28,0,0,1004,0.3,84,75,29,6,4
"Gandhinagar",23.217,72.683,33,20,250,1007,0.3,69,75,26,5,6
"Chandigarh",30.737,76.787,35,15,320,1007,0,94,100,27,6,2
"Shimla",31.103,77.172,28,0,0,1003,0,74,75,29,8,5
"Ranchi",23.35,85.333,27,19,270,1002,0,75,50,33,8,6
"Bengaluru",12.983,77.583,24,2,98,1004,0,92,59,28,7,10
"Shillong",25.576,91.873,20,3,74,1006,3.3,100,100,22,5,7
"Kohima",25.667,94.117,21,0,0,1004,0,84,75,36,5,3
"Bhubaneshwar",20.233,85.833,27,15,100,1002,2,79,75,28,7,3
"Amaravati",20.933,77.75,30,1,321,999,2.3,63,73,38,7,9
"Itanagar",27.1,93.617,22,21,265,1004,3.2,83,56,30,6,7
"Dispur",26.143,91.789,28,6,150,1001,0,59,25,33,8,5
"Patna",25.6,85.117,26,9,324,999,0,55,11,41,8,10
"Raipur",21.233,81.633,32,6,282,1003,0.8,72,84,30,6,9
"Panaji",15.483,73.833,27,4,130,1005,2.4,89,75,29,6,4
"Gandhinagar",23.217,72.683,32,11,250,1009,1.4,83,75,25,5,5
"Chandigarh",30.737,76.787,34,19,320,1008,0,94,75,28,6,3
"Shimla",31.103,77.172,28,4,310,1004,0,79,75,28,7,5
"Ranchi",23.35,85.333,26,15,250,1003,0,79,75,32,7,4
"Bengaluru",12.983,77.583,22,3,92,1005,0,94,45,25,6,10
"Thiruvananthapuram",8.507,76.957,25,1,124,1006,5.7,97,69,19,4,7
"Bhopal",23.267,77.4,26,3,65,1007,2.9,99,100,20,5,7
"Mumbai",18.975,72.826,29,2,20,1000,6.9,100,75,30,6,2
"Imphal",24.817,93.95,22,13,340,1001,0.5,72,89,32,6,9
"Shillong",25.576,91.873,19,3,50,1007,0,100,100,20,1,0
"Kohima",25.667,94.117,20,0,0,1004,0,84,75,36,1,3
"Bhubaneshwar",20.233,85.833,27,11,90,1002,0.1,84,75,28,1,3
"Amaravati",20.933,77.75,28,3,189,999,0.7,69,87,35,1,9
"Itanagar",27.1,93.617,20,20,263,1005,1.7,86,65,29,6,10
"Dispur",26.143,91.789,28,7,160,1001,0,63,50,33,8,4
"Patna",25.6,85.117,26,8,4,999,0,63,8,36,8,10
"Raipur",21.233,81.633,30,4,294,1003,0.1,82,81,29,6,10
"Panaji",15.483,73.833,26,7,120,1006,2.1,89,75,29,1,4
"Gandhinagar",23.217,72.683,31,11,260,1010,0,83,75,25,5,5
"Chandigarh",30.737,76.787,31,7,340,1008,0.7,94,75,28,6,3
"Shimla",31.103,77.172,26,6,270,1005,0.1,79,50,28,6,5
"Ranchi",23.35,85.333,26,13,220,1003,0,75,75,33,7,4
"Bengaluru",12.983,77.583,22,3,138,1006,1.1,95,59,22,1,10
"Thiruvananthapuram",8.507,76.957,25,3,146,1007,0.1,98,100,18,1,0
"Bhopal",23.267,77.4,26,3,117,1008,0.2,99,91,19,1,2
"Mumbai",18.975,72.826,29,2,30,1001,0.2,100,75,31,1,3
"Imphal",24.817,93.95,22,9,14,1002,1.8,66,76,36,7,10
"Shillong",25.576,91.873,18,3,133,1008,0.8,83,74,28,6,10
"Kohima",25.667,94.117,19,0,0,1005,0.3,84,75,32,7,5
"Bhubaneshwar",20.233,85.833,27,15,90,1003,0.1,66,50,33,7,5
"Raipur",21.233,81.633,31,9,268,1009,0.3,65,80,25,5,9
"Panaji",15.483,73.833,28,19,130,1008,0.2,70,75,32,6,4
"Gandhinagar",23.217,72.683,34,31,290,1009,0.1,61,75,27,6,8
"Chandigarh",30.737,76.787,34,17,290,1006,0.1,94,75,32,6,5
"Shimla",31.103,77.172,23,7,320,1004,0.3,79,75,31,6,3
"Ranchi",23.35,85.333,29,15,310,1003,0,75,75,34,7,3
"Bengaluru",12.983,77.583,26,3,309,1008,0.2,91,74,27,5,9
"Thiruvananthapuram",8.507,76.957,28,2,282,1009,1,92,57,21,5,10
"Bhopal",23.267,77.4,28,1,253,1009,0.5,97,60,25,5,10
"Mumbai",18.975,72.826,30,13,160,1002,0,79,75,33,7,5
